Census Tract,Loan Amount
21111012408,85000
21111011110,165000
21111011516,145000
21111011708,95000
21111012106,125000
21111000400,55000
21111006500,155000
21111011800,25000
21111006400,205000
21111012407,45000
21111011508,185000
21111010406,325000
21111010008,155000
21111010406,345000
21111010309,255000
21111012703,135000
21111011508,105000
21111007502,265000
21111006300,45000
21111012001,125000
21111011102,95000
21111012301,195000
21111012301,5000
21111010007,285000
21111010406,155000
21111003800,25000
21111012203,145000
21111012104,55000
21111005000,25000
21111011003,95000
21111007601,375000
21111011906,95000
21111010320,125000
21111011905,175000
21111011906,25000
21111010006,125000
21111010314,155000
21111011302,75000
21111011603,205000
21111012003,65000
21111007501,485000
21111010104,165000
21111003700,35000
21111012001,155000
21111011515,165000
21111003900,55000
21111012701,35000
21111005000,65000
21111000900,75000
21111012604,75000
21111003800,35000
21111009106,85000
21111011506,335000
21111012701,25000
21111012501,15000
21111010314,45000
21111003600,15000
21111012702,55000
21111007501,205000
21111011200,25000
21111011106,25000
21111000400,15000
21111008300,55000
21111012407,155000
21111000800,45000
21111012801,115000
21111003600,25000
21111012801,115000
21111004600,5000
21111010702,185000
21111003600,5000
21111006800,15000
21111012003,75000
21111012701,25000
21111012604,55000
21111012604,65000
21111011302,65000
21111012106,65000
21111012001,145000
21111011302,145000
21111012601,135000
21111001400,125000
21111011517,45000
21111001200,215000
21111009900,85000
21111012701,75000
21111010319,195000
21111011301,25000
21111008400,105000
21111008200,105000
21111011005,15000
21111007501,55000
21111011905,75000
21111000400,65000
21111012406,55000
21111011706,65000
21111012701,55000
21111012501,25000
21111010901,115000
21111011111,205000
21111002700,225000
21111011514,155000
21111011706,35000
21111011109,165000
21111012702,155000
21111012406,55000
21111008700,125000
21111011515,25000
21111012601,105000
21111006900,125000
21111012411,105000
21111011200,115000
21111000700,55000
21111011113,105000
21111002400,45000
21111011302,65000
21111011111,115000
21111010104,305000
21111012703,55000
21111012702,95000
21111007100,65000
21111008800,325000
21111012407,105000
21111006200,65000
21111004600,105000
21111009106,55000
21111012603,85000
21111012002,115000
21111000400,65000
21111012702,155000
21111006300,25000
21111012104,65000
21111006800,65000
21111011516,205000
21111011106,215000
21111010800,35000
21111009103,55000
21111012801,25000
21111009600,175000
21111007100,35000
21111011106,65000
21111007502,315000
21111012104,225000
21111010601,35000
21111012601,75000
21111006200,65000
21111003900,55000
21111008900,355000
21111010706,245000
21111001100,65000
21111011712,95000
21111012001,125000
21111012701,45000
21111004000,15000
21111012601,175000
21111010901,15000
21111012301,175000
21111006500,245000
21111009106,55000
21111011708,85000
21111010313,165000
21111011905,55000
21111012106,85000
21111003800,45000
21111002300,35000
21111009000,55000
21111004000,45000
21111012106,25000
21111011515,45000
21111006300,45000
21111011601,345000
21111003600,55000
21111011111,165000
21111008800,75000
NA,35000
21111011406,45000
21111011907,25000
21111009000,65000
21111011406,25000
21111011506,205000
21111009900,85000
21111011517,285000
21111012601,25000
21111011707,85000
21111012302,75000
21111011114,75000
21111003600,15000
21111001200,55000
21111009900,135000
21111011114,115000
21111011106,105000
21111011508,55000
21111004400,85000
21111011102,15000
21111006500,115000
21111003800,45000
21111011508,85000
21111000200,35000
21111010313,545000
21111009300,55000
21111004500,65000
21111010307,275000
21111012105,145000
21111004000,165000
21111011405,115000
21111004000,5000
21111009900,85000
21111011709,315000
21111010313,35000
21111011513,65000
21111000300,5000
21111012601,55000
21111011706,115000
21111012502,65000
21111003800,5000
21111003800,55000
21111011712,55000
21111009000,65000
21111010314,255000
21111011707,35000
21111011505,125000
21111004500,135000
21111012503,55000
21111002300,15000
21111012604,55000
21111008400,225000
21111012001,85000
21111012202,105000
21111010004,55000
21111010318,155000
21111000400,45000
21111002700,95000
21111011112,135000
21111010800,85000
21111008800,105000
21111004400,95000
21111003900,45000
21111004500,65000
21111003800,15000
21111012601,105000
21111012802,85000
21111011005,65000
21111010705,105000
21111010402,45000
21111009000,75000
21111012701,75000
21111002400,45000
21111012103,185000
21111011405,85000
21111000400,65000
21111011002,75000
21111001200,25000
21111007601,245000
21111010005,185000
21111002400,15000
21111012502,105000
21111011405,125000
21111011505,65000
21111007800,55000
21111010902,125000
21111001500,35000
21111011707,95000
21111010800,135000
21111009000,75000
21111011111,195000
21111010307,35000
21111003800,45000
21111008100,55000
21111011707,85000
21111011707,85000
21111009000,95000
21111007700,255000
21111011516,45000
21111002700,145000
21111007502,165000
21111011513,65000
21111010006,165000
